S. No.,CAT1,CAT2,FAT,QUIZ1,QUIZ2,QUIZ3,GRAND TOTAL,GRADE,ATTENDED CLASSES,TOTAL CLASSES,ATTENDANCE PERCENTAGE
1,0,6,0,0,10,10,12,F,6,47,13
2,43,40,89,15,20,15,86,A,40,50,80
3,26,23,88,20,15,20,78,B,42,57,74
4,47,41,89,20,20,20,92,A,45,57,79
5,34,35,84,20,20,15,82,A,35,50,70
6,24,15,40,10,10,15,46,E,35,50,70
7,34,30,85,15,15,15,76,B,41,57,72
8,32,36,89,20,20,20,86,A,44,57,78
9,0,0,0,0,0,0,0,F,2,30,7
10,45,32,82,20,15,15,81,A,18,30,61
11,41,30,69,20,20,10,74,B,19,30,64
12,43,31,73,20,15,15,77,B,21,30,70
13,45,22,58,20,20,15,71,B,36,57,64
14,46,47,100,20,20,20,98,S,31,57,55
15,28,39,57,20,15,20,71,B,42,57,74
16,41,14,41,15,10,15,53,D,35,57,62
17,30,21,70,20,15,20,71,B,34,50,68
18,0,0,16,15,20,15,32,F,19,57,34
19,0,0,0,15,15,15,23,F,20,50,40
20,37,9,56,15,20,20,64,C,24,50,48
21,32,31,0,20,15,15,64,C,34,50,68
22,35,24,74,20,20,20,78,B,45,57,79
23,40,25,67,15,20,15,72,B,37,57,65
24,6,0,0,0,0,15,10,F,10,50,20
25,42,24,78,15,20,20,81,A,39,50,78
26,29,17,53,20,20,20,65,C,47,57,83
27,21,22,54,20,20,20,65,C,46,57,81
28,36,34,81,20,20,20,84,A,44,57,78
29,0,19,64,10,20,10,52,D,24,46,53
30,15,12,57,20,15,15,56,D,40,57,71
31,35,18,83,15,20,20,77,B,36,50,72
32,27,20,65,20,20,20,71,B,44,57,78
33,41,37,84,15,20,15,82,A,30,57,53
34,29,15,59,10,20,10,57,D,31,50,62
35,34,10,50,20,20,15,61,C,44,57,78
36,14,10,71,10,20,15,59,C,29,50,58
37,18,6,33,20,20,20,51,F,33,50,66
38,23,0,0,10,20,15,30,F,4,50,8
39,37,10,50,20,15,20,62,C,44,57,78
40,35,25,47,20,15,20,70,B,43,57,76
41,30,23,78,20,20,15,75,B,44,57,78
42,38,36,83,20,20,20,86,A,53,57,93
43,39,31,84,15,20,15,80,A,35,57,62
44,37,7,70,10,10,20,62,C,34,57,60
45,27,18,53,15,20,15,60,C,30,50,61
46,32,20,56,20,20,20,68,B,40,57,71
47,48,26,83,15,20,20,83,A,32,45,72
48,23,0,52,15,10,15,48,E,37,57,65
49,19,10,56,15,10,20,54,D,40,57,71
50,42,29,69,20,20,20,79,B,40,50,80
51,41,22,63,20,20,20,75,B,43,50,86
52,31,14,84,20,20,20,78,B,33,50,66
53,8,12,29,20,20,15,46,F,28,50,56
54,46,33,64,15,20,20,77,B,38,57,67
55,0,0,0,0,0,20,10,F,4,56,8
56,42,29,71,20,15,20,78,B,32,50,64
57,42,50,99,20,20,20,98,S,44,57,78
58,33,40,83,20,20,20,86,A,48,57,85
59,34,27,65,20,20,20,75,B,36,46,79
60,34,36,74,20,15,20,79,B,41,57,72
61,35,32,80,20,20,20,83,A,48,57,85
62,32,23,71,20,20,15,73,B,44,57,78
63,36,19,65,15,20,15,68,B,30,46,66
64,41,42,95,20,20,20,93,A,43,50,86
65,49,42,91,20,20,20,94,A,37,50,74
66,49,43,99,20,20,20,98,S,40,50,80
67,34,20,63,20,15,20,69,B,33,50,66
68,35,32,85,10,15,15,75,B,43,57,76
69,44,38,90,20,20,20,91,A,41,50,82
70,43,44,99,20,20,20,96,S,42,50,84
71,41,29,94,20,20,20,89,A,46,57,81
